congress,month,enacted,introduced
93,1,121,4556
93,2,51,1980
93,3,82,1865
93,4,52,1269
93,5,52,1296
93,6,46,1088
93,7,32,833
93,8,9,381
93,9,28,734
93,10,27,838
93,11,25,671
93,12,27,554
93,13,11,424
93,14,28,905
93,15,18,879
93,16,35,842
93,17,23,845
93,18,39,801
93,19,19,650
93,20,10,494
93,21,13,520
93,22,9,584
94,1,104,3271
94,2,68,1988
94,3,62,2196
94,4,43,1230
94,5,33,1208
94,6,54,1162
94,7,47,1127
94,8,3,154
94,9,28,852
94,10,32,780
94,11,21,521
94,12,26,626
94,13,14,366
94,14,36,759
94,15,42,1015
94,16,19,725
94,17,24,766
94,18,31,751
94,19,13,453
94,20,13,504
94,21,13,572
94,22,3,71
95,1,113,3546
95,2,83,1759
95,3,97,2245
95,4,59,1156
95,5,38,965
95,6,48,948
95,7,25,639
95,8,17,393
95,9,24,609
95,10,25,600
95,11,11,420
95,12,13,300
95,13,21,369
95,14,34,747
95,15,36,849
95,16,34,907
95,17,42,710
95,18,25,685
95,19,19,419
95,20,21,475
95,21,10,327
95,22,8,319
96,1,72,2287
96,2,56,1024
96,3,71,1228
96,4,35,707
96,5,52,740
96,6,37,623
96,7,34,533
96,8,21,219
96,9,43,504
96,10,36,420
96,11,26,361
96,12,25,377
96,13,19,255
96,14,26,411
96,15,31,476
96,16,22,407
96,17,28,416
96,18,29,386
96,19,19,323
96,20,15,240
96,21,21,316
96,22,1,84
97,1,35,2048
97,2,34,1013
97,3,36,1006
97,4,34,714
97,5,42,601
97,6,26,524
97,7,28,468
97,8,0,62
97,9,29,344
97,10,17,364
97,11,22,357
97,12,23,329
97,13,6,140
97,14,17,376
97,15,32,641
97,16,36,392
97,17,24,447
97,18,16,345
97,19,9,315
97,20,14,271
97,21,22,372
97,22,6,103
98,1,54,1581
98,2,53,959
98,3,73,1118
98,4,47,714
98,5,44,604
98,6,41,565
98,7,23,373
98,8,18,271
98,9,34,346
98,10,27,358
98,11,28,538
98,12,0,368
98,13,14,197
98,14,34,498
98,15,41,513
98,16,34,365
98,17,36,379
98,18,33,434
98,19,7,108
98,20,8,216
98,21,17,243
98,22,9,178
99,1,46,1445
99,2,52,750
99,3,56,791
99,4,42,744
99,5,36,575
99,6,30,510
99,7,36,438
99,8,10,143
99,9,35,384
99,10,31,370
99,11,22,272
99,12,32,339
99,13,11,145
99,14,37,342
99,15,42,428
99,16,33,391
99,17,32,352
99,18,19,407
99,19,17,267
99,20,25,300
99,21,26,291
99,22,16,198
100,1,70,1496
100,2,49,682
100,3,68,926
100,4,38,656
100,5,39,548
100,6,44,500
100,7,33,368
100,8,21,270
100,9,16,236
100,10,30,350
100,11,19,174
100,12,37,305
100,13,8,75
100,14,46,304
100,15,58,541
100,16,32,295
100,17,41,366
100,18,41,443
100,19,19,232
100,20,16,246
100,21,26,337
100,22,7,229
101,1,41,1239
101,2,46,649
101,3,53,766
101,4,33,737
101,5,52,655
101,6,34,605
101,7,29,426
101,8,14,308
101,9,28,333
101,10,24,321
101,11,47,494
101,12,0,326
101,13,12,157
101,14,30,426
101,15,31,526
101,16,26,442
101,17,35,488
101,18,32,441
101,19,30,341
101,20,9,209
101,21,31,370
101,22,28,389
102,1,54,1276
102,2,49,727
102,3,43,757
102,4,45,756
102,5,32,600
102,6,32,608
102,7,42,547
102,8,13,224
102,9,22,261
102,10,31,431
102,11,24,646
102,12,0,389
102,13,7,132
102,14,20,383
102,15,24,620
102,16,23,504
102,17,29,430
102,18,39,374
102,19,29,453
102,20,14,278
102,21,16,255
102,22,22,248
103,1,44,1092
103,2,42,703
103,3,42,720
103,4,23,576
103,5,28,616
103,6,33,384
103,7,25,425
103,8,19,324
103,9,23,290
103,10,21,326
103,11,32,511
103,12,0,289
103,13,2,67
103,14,9,258
103,15,18,405
103,16,16,221
103,17,22,346
103,18,25,303
103,19,11,245
103,20,12,263
103,21,14,219
103,22,12,217
104,1,34,1164
104,2,23,499
104,3,22,486
104,4,6,231
104,5,10,367
104,6,25,398
104,7,17,242
104,8,9,214
104,9,18,297
104,10,17,195
104,11,13,221
104,12,16,222
104,13,5,141
104,14,7,118
104,15,31,318
104,16,12,206
104,17,13,299
